,Act1,Act2,counts
6715,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Assessment of surveillance systems,0.0
6716,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Provide shelter for displaced populations,1.0
6717,"""Maintain sanitation of facilities, buildings, vehicles and equipment""","""Dispose of animal carcasses, litter, and animal products""",0.0
6718,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Manage supply chain for consumable medical equipment,0.0
6719,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Mobilize and train volunteers,0.0
6720,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Determine mode of transmission,0.0
6721,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Plan systematic study,0.0
6722,"""Maintain sanitation of facilities, buildings, vehicles and equipment""","""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
6723,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Coordinate with security sector and law enforcement,0.0
6724,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Initiate attribution investigation,0.0
6725,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Acquire road transportation vehicles,0.0
6726,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Carry out screening/testing activities,0.0
6727,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6728,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Procure diagnostics and laboratory testing material,1.0
6729,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Transport samples domestically,1.0
6730,"""Maintain sanitation of facilities, buildings, vehicles and equipment""","""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
6731,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Share information and key messages with the public,2.0
6732,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6733,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Monitor and manage suspected cases,0.0
6734,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Collect and manage data on security-related threats and events,0.0
6735,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Share genetic sequence data with international community,0.0
6736,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Conduct risk assessment,0.0
6737,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Promote good hygiene practices,1.0
6738,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Count deaths,3.0
6739,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Transport or evacuate patients,1.0
6740,"""Maintain sanitation of facilities, buildings, vehicles and equipment""","""Ensure proper water, sanitation, and hygiene (WASH)""",1.0
6741,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Develop or update instruments governing public health surveillance and response,0.0
6742,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Explore fundraising options,0.0
6743,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Develop hypothesis to explain specific exposure that caused disease,1.0
6744,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Consider enforcing physical distancing measures of infectious patients,0.0
6745,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Perform active case finding,2.0
6746,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Initiate immunization campaign,0.0
6747,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Conduct and assess statistical analysis,0.0
6748,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Identify and train local spokespersons,0.0
6749,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Determine the existence of an outbreak,0.0
6750,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Empower community to make decisions and implement and manage change,1.0
6751,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Integrate humanitarian risk and public health data,0.0
6752,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Assess impacts to local banks and economic systems,0.0
6753,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Collect case patient information,0.0
6754,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Provide medical countermeasures (MCMs),0.0
6755,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Publish and share data,0.0
6756,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Humanely destroy all infected and exposed animals,0.0
6757,"""Maintain sanitation of facilities, buildings, vehicles and equipment""","""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
6758,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Identify agent based on laboratory testing,2.0
6759,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Initiate medical response,2.0
6760,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Diagnose cases,1.0
6761,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Manage potential clashes in national policy,0.0
6762,Activate emergency operations center (EOC),Provide clean water,1.0
6763,Activate emergency operations center (EOC),Provide mental health and counseling services,0.0
6764,Activate emergency operations center (EOC),Deactivate emergency operations center (EOC),0.0
6765,Activate emergency operations center (EOC),Notification of International Health Regulation (IHR) event,2.0
6766,Activate emergency operations center (EOC),Engage in ongoing dialogue with community,1.0
6767,Activate emergency operations center (EOC),Identify at risk population,0.0
